TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
77,77,100.0000,77,100.0000,0,29314,18036,61.5269

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,VAMOS,CABAL,PODEMOS,UNE,U R N G - MAIZ,TODOS,VALOR,PHG,P A N,AZUL,BIEN,CAMBIO,MLP,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12132,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,9,75,9,53,37,16,2,10,18,3,5,2,1,1,7,248,20,1,269,0,269,--,400,131,248,269,269,Algún campo sin dato,1,3b1afbbdaf7d9940d9a5b2bd08803ad358c90fcdadf7d0e2654bf8d474732378,25/06/2023 21:47:45,ESCANER
12133,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,5,92,7,52,39,15,3,11,11,1,3,1,1,0,3,244,24,2,270,0,270,--,400,130,244,270,270,Algún campo sin dato,1,09cb04c9f03ac5f977d8f7cea45b4b8e73c8a9ddd6bc741b3faf50e40fef6a7e,25/06/2023 23:47:18,ESCANER
12134,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,9,100,3,49,33,17,0,8,9,2,9,3,2,2,3,249,22,5,276,0,276,--,400,124,249,276,276,Algún campo sin dato,1,8a942b10ae7accf796c443d4fce1091645f863f7ca55e77424357613e0196844,25/06/2023 22:12:37,ESCANER
12135,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,11,106,10,48,31,23,1,5,16,2,2,2,2,1,2,262,8,1,271,0,271,--,400,129,262,271,271,Algún campo sin dato,1,ab74691937810eae62dcbb78fdb0d61d04a6af3cef4b257703428747b7cb57eb,25/06/2023 22:22:18,ESCANER
12136,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,10,100,4,79,28,21,1,4,2,1,9,3,0,0,1,287,19,4,287,1,287,--,400,113,263,286,287,Sumas Asentadas sin cuadrar,1,6f933923306ef240be783da3703ea72c050ade30edb0640eb75cb590fd2ddaad,25/06/2023 22:28:12,ESCANER
12137,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,9,99,9,47,27,20,0,9,15,1,5,1,1,0,4,247,22,3,272,0,272,--,400,128,247,272,272,Algún campo sin dato,1,083a7dd12448d358be2d51066c8d9089d33a87fb258c7b0c26e2b5cd645808b5,25/06/2023 23:54:16,ESCANER
12138,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,7,110,7,47,41,23,1,7,22,3,5,3,3,4,5,288,7,3,298,0,298,0,400,102,288,298,298,,1,cd2d28e9ceb817cf999b9a50ae32f26d588473607f9ef1daf4d40996c6400ae8,26/06/2023 00:56:41,ESCANER
12139,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,12,96,5,46,36,11,0,5,9,1,3,1,2,2,2,231,34,135,400,0,400,--,400,135,231,400,400,Algún campo sin dato,1,9012c1f7370cadf3bbbe496165b8d0f0463ada402a83d80c681f588b9138a26c,25/06/2023 23:40:21,ESCANER
12140,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,11,100,5,44,34,14,2,0,10,3,4,1,2,2,4,236,16,3,255,0,255,1,400,144,236,255,255,,1,d0d66b92d3eee743f433ebf363f90c4716ed1126921e808b8642d386fae93f74,25/06/2023 23:04:30,ESCANER
12141,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1642,400,5,101,10,40,26,7,5,4,20,4,--,1,--,3,9,235,10,2,247,0,247,--,406,159,235,247,247,Algún campo sin dato,1,ea95464eeb34660e2f2420191c15a0c58952f190d529f79e4cd84006a1dd03c2,26/06/2023 00:20:40,ESCANER
12142,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,11,86,8,46,28,18,2,3,14,1,3,2,2,3,10,237,12,2,251,0,251,--,400,149,237,251,251,Algún campo sin dato,1,accefc69f270acdd2e04c52f096466273a1423cde7b3cc91a2bf790ebc8ff16a,26/06/2023 01:10:34,ESCANER
12143,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,3,97,7,45,38,15,3,7,12,4,3,3,2,2,3,244,6,150,400,0,400,--,400,150,244,400,400,Algún campo sin dato,1,a938576458c0ab8d4872e8ef7464c601cffd0828ccd6050537403a38b79cac1d,25/06/2023 22:49:32,ESCANER
12144,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,6,91,8,26,34,19,0,4,16,2,5,3,2,1,4,221,12,1,234,0,234,--,400,166,221,234,234,Algún campo sin dato,1,ac36bc1b7322939e95a453734b3b844d020fbcf3d7abed3e71b0bb2709c8d676,25/06/2023 23:10:57,ESCANER
12145,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,9,91,10,32,24,19,1,4,8,2,5,1,0,3,2,211,11,4,226,0,226,--,400,174,211,226,226,Algún campo sin dato,1,5a4f0abefb25195058c7b75c2c5e9e2586f1f90564405b5b7863209631e04af1,26/06/2023 00:07:34,ESCANER
12146,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,5,88,3,37,17,11,3,10,13,2,2,3,1,0,8,203,4,0,207,0,207,--,397,190,203,207,207,Algún campo sin dato,1,1e5074c1fd5a131b421f6b9122cd446f0095ee18cf00bab0267b163b747c7e42,25/06/2023 23:53:44,ESCANER
12147,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,10,92,6,52,20,11,7,6,10,2,3,2,1,0,5,227,4,0,231,0,231,--,400,169,227,231,231,Algún campo sin dato,1,f64d7b86f9fb8df4d43c227a6e332d581b016a0ea438210e52a780fbb6eaa30a,25/06/2023 22:34:43,ESCANER
12148,"Suchitepéquez",10,"San Antonio Suchitepéquez",10,1643,400,8,91,5,47,14,22,1,10,10,3,1,0,3,1,5,221,10,0,231,0,231,--,400,169,221,231,231,Algún campo sin dato,1,7f145a61025fac854ced5ca0e43ed314f8ae40a435bc8742e93ff806e4e8ab5b,25/06/2023 22:57:44,ESCANER
