TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
157,157,100.0000,156,99.3630,1,58991,30187,51.1722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PHG,CABAL,PODEMOS,CREO,VIVA,UNE,AZUL,VAMOS,MLP,TODOS,PPN,U R N G - MAIZ,FCN-NACION,WINAQ,PR,PIN,SEMILLA,VALOR,PODER,VICTORIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14070,"San Marcos",12,"Malacatán",15,1981,400,21,24,9,67,3,3,0,28,0,5,43,5,2,2,3,1,1,5,2,0,224,18,1,243,0,243,--,397,154,224,243,243,Algún campo sin dato,1,f71f4a36abe6b4ea051baf35ba21e2f79dd2f096cbf04e268b90df72331874c1,26/06/2023 03:48:43,ESCANER
14071,"San Marcos",12,"Malacatán",15,1981,400,20,40,4,48,5,6,2,19,1,4,42,4,3,2,1,0,0,11,2,1,215,25,1,241,0,241,--,397,156,215,241,241,Algún campo sin dato,1,4217069b04db6802ad777b033632ba4c6fc9d7598c0b605095135e07181ede9c,26/06/2023 00:12:59,ESCANER
14072,"San Marcos",12,"Malacatán",15,1981,400,18,34,10,70,0,7,2,20,1,4,35,8,3,1,1,0,1,4,2,3,244,20,2,266,0,266,--,400,134,224,246,246,Sumas Asentadas sin cuadrar,1,9a31e56da74e68377e08cafef809dcc8370fef062f9f3fbbd3014133ed6d4fed,26/06/2023 05:09:37,ESCANER
14073,"San Marcos",12,"Malacatán",15,1981,400,22,38,13,75,5,9,2,26,1,2,36,1,1,3,1,0,0,14,2,0,251,25,8,284,0,284,--,400,116,251,284,284,Algún campo sin dato,1,b7f099029173ab26dbdc3e6f97bba88f9281caaa0fa8997264dadb2e876ea3d2,26/06/2023 01:16:15,ESCANER
14074,"San Marcos",12,"Malacatán",15,1981,400,19,17,12,71,2,9,0,15,2,2,54,2,2,4,3,0,1,8,3,0,226,32,5,263,0,263,--,396,--,226,263,263,Algún campo sin dato,1,0b0de6be4db4c9057ae6d4cb87523b73cdeab342139e2cca999eeb0f58819ade,26/06/2023 04:16:32,ESCANER
14075,"San Marcos",12,"Malacatán",15,1981,400,15,31,10,76,4,15,3,18,0,2,34,6,2,5,2,1,1,10,2,0,237,5,0,242,6,248,--,400,152,237,242,248,Algún campo sin dato,1,01d3d93f76dff96819d8d7e8100672db7ef30cc528eeb9c2d7d798375daa48bc,26/06/2023 01:22:25,ESCANER
14076,"San Marcos",12,"Malacatán",15,1981,400,27,37,6,61,2,3,1,20,1,1,54,3,5,7,1,0,3,10,5,0,247,17,5,269,1,270,--,400,130,247,269,270,Algún campo sin dato,1,c21c6162a755e3adf9d2f10773a620da00835c27f627df6b46ec6a9d7ccc81a7,26/06/2023 03:04:56,ESCANER
14077,"San Marcos",12,"Malacatán",15,1981,400,12,39,5,47,3,10,0,16,0,2,42,3,4,2,2,1,1,5,2,2,198,11,2,211,0,211,--,404,193,198,211,211,Algún campo sin dato,1,4578d1dd51397ff65406554423946055f4f941b6cd81d98014693d1ced81a243,26/06/2023 00:43:34,ESCANER
14078,"San Marcos",12,"Malacatán",15,1981,400,21,22,9,64,4,4,1,13,2,5,30,2,2,4,0,0,2,9,0,2,196,11,2,209,1,210,1,404,194,196,209,210,,1,3cca7ab54c40fe5a219f75bee3ac090493e188f5ae86fc6f18e9504ca69987d9,26/06/2023 03:52:32,ESCANER
14079,"San Marcos",12,"Malacatán",15,1981,400,12,42,6,73,4,5,1,21,3,4,42,6,5,2,1,0,3,9,0,1,240,8,3,251,0,251,--,400,149,240,251,251,Algún campo sin dato,1,61f164a5d9693100fede2cda9584d33df6fc26ea0ee8e7b53c4793d656635521,26/06/2023 03:34:07,ESCANER
14080,"San Marcos",12,"Malacatán",15,1982,400,14,40,9,63,8,6,2,16,1,3,37,9,5,2,0,1,4,8,2,1,231,7,1,239,0,239,--,400,161,231,239,239,Algún campo sin dato,1,4eebb34c6bbb2f93b1144f7acb2b398b03eb1606fec70f29f4eaa9ca106f4443,26/06/2023 03:35:54,ESCANER
